I wrote this journal entry in 2013.,من تمام این خاطرات را در سال ۲۰۱۳ نوشتم.
"""I've been sleeping restlessly for months.",«برای ماه‌ها خواب آرامش‌بخشی نداشته‌ام.
There's a constant feeling of tension in my body.,همیشه احساس تنشی در بدن من وجود دارد.
"I love ministry as a Catholic priest,",به‌عنوان یک کشیش کاتولیک من دوران خدمت را دوست دارم،
the opportunity to share my faith with people and support them as we journey through life together.,فرصت به اشتراک گذاشتن اعتقادم با مردم و حمایت از آن‌ها همانطور که با هم در طول زندگی سفر می‌کنیم.
But I have a desire to share my life with another person.,اما تمایل دارم که زندگی‌ام را با دیگری به اشتراک گذارم.
"I knew, in discerning ministry, that celibacy, not getting married, was part of the package.",می‌دانستم که در خدمت با هدف افزایش کمالاتم تجرد، ازدواج نکردن، بخشی از برنامه است.
But I don't know if I can do this any longer.,اما نمی‌دانم دیگر توانایی انجام این کار را دارم یا نه.
"I'm rarely alone, but I feel bitterly lonely.""",من به ندرت تنها هستم، ولی به شدت احساس تنهایی می‌کنم.»
I wrote this when I was on the cusp of making one of the biggest and most significant decisions of my life:,این را زمانی نوشتم که در آستانه‌ی گرفتن یکی از بزرگ‌ترین و مهم‌ترین تصمیمات زندگی‌ام بودم:
whether to leave ministry as a Catholic priest.,آیا به خدمتم به‌عنوان کشیش تاتولیک پایان دهم یا نه.
I think my life has been a reasonably unique and unusual one.,فکر می‌کنم زندگی‌ام نسبتا منحصربه‌فرد و غیرعادی بوده است.
"Now in my early forties, I've had careers as an opera singer, a Catholic priest, a corporate lawyer, and now, a management consultant.",حالا که در ابتدای دهه چهل زندگی هستم، عناوین شغلی خواننده اپرا، یک کشیش کاتولیک، یک وکیل دعاوی شرکت و اکنون، مشاور مدیریت داشته‌ام.
"And when people hear the careers that I've had,",وقتی مردم از شغل‌های من باخبر می‌شوند،
"the most common question I get asked -- maybe the one that's on your mind -- is, “What on earth is the connection amongst it all?”",رایج‌ترین سوالی که از من می‌پرسند - شاید همانی که در ذهن شماست - این است: «محض رضای خدا ارتباط بین همه این‌ها چیست؟»
"Through all of these changes,",در میان همه این تغییرات،
"through all of these careers,",در تمام این مشاغل،
one constant has been present:,یک ثابت وجود داشته است:
"Now people may think that reflection is something that happens in a dark, private room by candlelight or flashlight, to purge one's deepest, darkest secrets.",حال ممکن است مردم فکر کنند که بازتاب چیزی است که در یک اتاق تاریک و خصوصی با نور شمع یا چراغ قوه اتفاق می‌افتد تا عمیق‌ترین و تاریک‌ترین رازهای فرد را پاک کند.
But I want to bring this practice out of the dark and into the light.,اما من می‌خواهم این تمرین را از تاریکی به سمت روشنایی آورم.
"I want to share how this practice can help our everyday lives, and especially our work lives.",می‌خواهم چگونگی کمک کردن این تمرین به زندگی روزمره ما و مخصوصا زندگی کاریمان را به اشتراک گذارم.
"I want to share how this practice helps to improve performance, to make better decisions, both big and small, and to build better relationships.",می‌خواهم چگونگی کمک این تمرین  به بهبود عملکرد، تصمیم‌گیری بهتر، چه بزرگ و چه کوچک و ایجاد روابط بهتر را با شما سهیم شوم.
"What are their main qualities and skills?""",ویژگی‌ها و مهارت‌های اصلی آن‌ها چیست؟»
"Notably, possessing a good capacity for reflection was listed as one of the top five skills, the others being empathy, listening, consideration and team development.",شایان ذکر است، داشتن ظرفیت خوب برای بازاندیشی به‌عنوان یکی از پنج مهارت برتر ذکر شده است بقیه مهارت‌ها همدلی، گوش دادن، توجه و توسعه تیم است.
Reflection is about learning.,بازتاب در مورد یادگیری است.
"It's about looking at the events of our lives without judgment,",در مورد نگاه کردن به رویدادهای زندگی ما بدون قضاوت،
but with a critical lens.,اما با یک دیدگاه انتقادی است.
I really like the way leadership professors James Bailey and Scheherazade Rehman describe it:,من واقعا روشی را دوست دارم که استادان رهبری جیمز بیلی و شهرزاد رحمان توصیف می‌کنند:
"""It requires taking an honest moment to look at what transpired,",«نیازمند یک لحظه صادقانه است برای نگاه کردن به آنچه اتفاق افتاده،
"what worked, what didn't,",چه چیزی مؤثر بوده، چه کاری انجام نشده است،
what can be done and what can't.,چه کاری می‌توان انجام داد و چه چیزی را نه.
Reflection requires courage.,بازتاب شجاعت می‌خواهد.
"It's thoughtful, and it's deliberate.""",این عمل متفکرانه و حساب‌شده است.»
"So how do we do this, then?",پس چه طور این کار را انجام دهیم؟
Let's take a look at sports.,بیایید نگاهی به ورزش بیاندازیم.
"I grew up in Australia,",من در استرالیا بزرگ شده‌ام
and one of the most popular games played was cricket.,که یکی از محبوب‌ترین بازی‌ها کریکت بوده است.
"Consistent high performance from batters, bowlers and fielders is essential.",عملکرد مداوم عالی بازیکن‌های توپ‌زن،  فلدرها(توپ‌گیر) و باولرها ضروری است.
"But given it’s a team sport,",با توجه به اینکه ورزش تیمی است،
but about how the team performs collectively together.,بلکه به نحوه عملکرد تیم به طور جمعی با هم مربوط می‌شود.
"During a game, they might think about a missed catch",در طول یک بازی ممکن است درباره یک توپ از دست رفته فکر کنند
or how they could bat or bowl better the next delivery.,یا اینکه چگونه می‌توانند در تحویل بعدی بهتر باول یا پرتاب کنند.
"After a game, they might come together to watch video replays,",بعد از یک بازی، آن‌ها ممکن است برای دیدن بازپخش‌های ویدیویی گرد هم بیایند،
"to look at what worked and what didn't,",تا ببینند چه کاری نتیجه مطلوب داده یا بلعکس
which might differ from what they actually experienced during the game itself.,و چه چیزی ممکن است با تجربه‌ی آن‌ها در طول بازی متفاوت باشد.
"And then, over time, they might look to the patterns of their wins and losses,",و سپس، با گذشت زمان، آن‌ها ممکن است به الگوهای برد و باخت خود نگاه کنند
to glean even more meaningful conclusions and insights.,تا نتیجه‌گیری‌ها و بینش‌های معنادارتری را به دست آورند.
"The same process can and should be used in the workplace,",از همین روند می‌توان و باید در محل کار استفاده کرد
and I don't think we need to watch video replays of our meetings to dissect what took place.,و فکر نمی‌کنم برای بررسی آنچه اتفاق افتاده است، نیازی به تماشای ویدیوها تکراری جلسات داشته باشیم.
"I don't know about you, but that might feel kind of creepy.",در مورد شما نمی‌دانم، اما ممکن است کمی ترسناک به نظر برسد.
Reflection can be done through a variety of different formats:,تامل در خود را می‌توان از طریق اشکال مختلف انجام داد:
"purposeful thinking,",تفکر هدفمند،
and to make a regular commitment.,و تعهدی منظم نسبت به آن داشته باشید.
"To examine the events and experiences of your lives -- what worked, what didn't, and why --",برای بررسی وقایع و تجربیات زندگی‌تان - چه چیزی مؤثر بود، چه چیزی مؤثر نبود و چرا -
"and then, to think about what and how you would like to do things differently next time.",و سپس به این فکر کنید که دوست دارید دفعه بعد چه کاری و چگونه کارها را متفاوت انجام دهید.
"When we practice reflection as a habit, we gain even more meaningful insight, because we see patterns that reflection on stand-alone events doesn't provide.",وقتی که بازتاب را به عنوان یک عادت تمرین می‌کنیم، بینش معنادارتری به دست می‌آوریم، چون الگوهایی را می‌بینیم که این عمل در رویدادهای مستقل ارائه نمی‌کند.
I truly think reflection can help everyone --,من واقعاً فکر می‌کنم که بازتاب می‌تواند به همه کمک کند -
"people in every industry, at every stage in one's career, and in every point in one's life.",به افراد در هر صنعت، در هر مرحله از حرفه و در هر نقطه از زندگی فرد.
Let me share with you an example that I think most people can connect with.,اجازه دهید مثالی بزنم که به گمانم اکثر مردم با آن ارتباط برقرار کنند.
Most of us have meetings.,اکثر ما جلساتی رسمی داریم.
I was due for a daily catch-up with a colleague.,قرار بود روزانه من با یکی از همکارانم صحبت کنم.
He had just led a client meeting for the first time.,او به تازگی برای اولین بار یک جلسه با مشتریش را رهبری کرده بود.
It was to give a progress update on the work stream he was responsible for in this project.,این جلسه برای ارائه به‌روزرسانی پیشرفت در جریان کاری بود که او در این پروژه مسئولش بود.
He said to me that the meeting had gone terribly.,او به من گفت که جلسه به طرز وحشتناکی پیش رفته است.
He didn’t get through the actions taken.,نتوانسته بود که همه‌ی اقدامات انجام‌شده را بیان کند.
He wasn’t able to discuss the obstacles faced or the decisions required.,او قادر به بحث در مورد موانع کار یا تصمیمات مورد نیاز نبود.
"He didn’t get to the next steps or the responsible persons. He felt angst, uneasy, upset.",او به مراحل بعدی یا افراد مسئول نرسید. احساس اضطراب، بی‌قراری، ناراحتی کرد.
"He was concerned about what the client had thought of him and the meeting, but more importantly, what the client felt about the work that was going on in the work stream.",نگران این بود که مشتری در مورد او و جلسه چه فکری کرده است، اما مهمتر از آن، نگران احساس مشتری در مورد عمل در حال انجام در جریان کار بود.
"It would have been so easy for him to have pushed past this, to try and suppress the emotions, but that would have missed a massive opportunity.",برایش راحت بود اگر چنین نگرانی نداشت، یا تلاش بر سرکوب احساساتش می‌کرد، اما ممکن بود با این کار فرصت بزرگی را از دست دهد.
We took a few moments to think,چند لحظه وقت گذاشتیم تا فکر کنیم
"and objectively reflect over what took place,",و به طور عینی درباره آنچه اتفاق افتاده، فکر کنیم
and then to put in place some commitments,و سپس تعهداتی در مورد این وضع کنیم
as to what and how he could do things differently next time.,که دفعه بعد او می‌تواند چه کاری و چگونه آن را متفاوت انجام دهد.
