Fear. Treachery Bloodlust.,.ترس. دغلکاری. خونریزی
"Thousands of years ago, these were the forces that ruled our world.",هزاران سال پیش اینها نیروهایی بودن .که به دنیای ما حکومت می‌کردن
A world where prey were scared of predators.,دنیایی که قربانی‌ها .از درنده‌ها می‌ترسیدن
And death.,.و مرگ
"Back then, the world was divided in two.",.اون موقع‌ دنیا به دو دسته تقسیم می‌شد
Vicious predator,درنده‌های وحشی
or meek prey.,.یا قربانی‌های نجیب
"But over time, we evolved.",،اما با گذشت زمان .ما پیشرفت کردیم
"And moved beyond our primitive, savage ways.",و از روش‌های نخستین .و وحشیانه‌مون فراتر رفتیم
"Now, predator and prey live in harmony.",.حالا درنده‌ها و قربانی‌ها در توازن زندگی می‌کنن
And every young mammal has multitudinous opportunities.,و هر پستاندار جوونی .فرصت‌های زیادی داره
Yeah.,.آره
I don't have to cower in a herd anymore.,دیگه لازم نیست .توی گله از ترس پنهان شم
"Instead, I can be an astronaut.",،به جاش .می‌تونم فضانورد شم
I don't have to be a lonely hunter anymore.,مجبور نیستم .یه شکارچی تنها باشم
"Today, I can hunt for tax exemptions.",امروز، می‌تونم .به دنبال گرفتن مالیات باشم
I'm gonna be an actuary!,!می‌خوام یه مامور مالیات بشم
And I can make the world a better place.,و می‌تونم دنیا رو .به جای بهتری تبدیل کنم
I am going to be a police officer!,قراره که من !یه مامور پلیس بشم
Bunny cop? That is the most stupidest thing I ever heard.,خرگوش پلیس؟ این احمقانه‌ترین چیزیه که .تا بحال شنیدم
It may seem impossible to small minds,شاید برای ذهن‌های کوچیک  به نظر غیر ممکن بیاد
Where our ancestors first joined together in peace and declared that anyone can be anything!,جایی که برای اولین بار  اجداد ما در صلح به همدیگه پیوستن و اعلام کردن که هر کس .می‌تونه هر چیــزی باشه
Thank you and good night!,!ممنون و شب بخیــر
"Judy, you ever wonder how your mom and me got to be so darn happy?","جودی""، اصلا می‌دونی""  من و مامانت چجوری انقدر خوشبختیم؟"
Nope.,.نه
"Well, we gave up on our dreams and we settled. Right, Bon?","خب، بی‌خیال رویاهامون شدیم  و سر و سامون گرفتیم، درسته ""بان""؟"
"Oh, yes, that's right, Stu. We settled hard.",".""اوه، آره، درسته ""استو .بدجوری سر و سامون گرفتیم"
"See, that's the beauty of complacency, Jude.","می‌بینی، این زیباییِ .""رضایت داشتن از خودمونه ""جود"
"If you don't try anything new, you'll never fail.",،اگه چیز جدیدی رو امتحان نکنی .هرگز شکست نمی‌خوری
I like trying actually.,راستش من امتحان کردن رو .دوست دارم
"is it's gonna be difficult, impossible even, for you to become a police officer.",این برات سخت خواهد بود حتی غیرممکنـه برات .که یه مامور پلیس بشی
Right. There's never been a bunny cop. Bunnies don't do that.,.درسته .هیچ‌وقت یه خرگوش پلیس نداشتیم
"Then, I guess I'll have to be the first one.",اوه، پس فکر کنم .قراره من اولی باشم
Because I am gonna make the world a better place.,چون من قراره .دنیا رو به جای بهتری تبدیل کنم
"Or, heck, you know, you want to talk about making the world a better place no better way to do it than becoming a carrot farmer.",یا اینکه، خب، می‌دونی  تو می‌خوای در مورد بهتر کردن دنیا حرف بزنی راهی بهتر از این وجود نداره .که هویج کِشت کنی
"Yes! Your dad, me your 275 brothers and sisters. We're changing the world!",آره! پدرت، من .و 275 تا برادر و خواهرت .ما داریم دنیا رو عوض می‌کنیم - .آره -
"You get it, honey. It's great to have dreams.",متوجهی عزیزم؟ .عالیه که رویا داشته باشی
Yeah. Just as long as you don't believe in them too much.,آره. فقط تا وقتی که .زیادی بهشون باور نداشته باشی
Where'd the heck she go?,کجا رفت؟
Give me your tickets right now,همین الان بلیطهاتون رو  بدین به من
Hey! You heard her. Cut it out.,.هی! شنیدی که چی گفت .بس کن
"Nice costume, loser.",،لباس قشنگیـه .بی‌عرضـه
What crazy world are you living in where you think a bunny could be a cop?,تو چه دنیای احمقانه‌ای  داری زندگی می‌کنی که فکر می‌کنی یه خرگوش می‌تونه پلیس باشه؟
Kindly return my friend's tickets.,با مهربونی .بلیط‌های دوستام رو برگردون
Come and get them.,.بیا و اونا رو بگیر
"But watch out, because I'm a fox, and like you said in your dumb little stage play us predators used to eat prey.",،اما مراقب باش  چون من یه روباهم و همونطور که توی  نمایش احمقانه‌ت گفتی .ما درنده‌ها قربانی‌ها رو می‌خوریم
She is scared!,!اون ترسیده
Cry little baby bunny.,.خرگوش کوچولو گریه کن
"Cry, cry",گریه کن، گریه کن
"You don't know when to quit, do you?",اوه، نمی‌دونی کی باید دست برداری؟
I want you to remember this moment,می‌خوام این لحظه رو یادت باشه
"Well, he was right about one thing.",.خب، درمورد یه چیز راست می‌گفت
I don't know when to quit.,نمی‌دونم کی باید .دست بردارم
"Listen up, cadets.",.گوش کنید دانشجوها
"You're gonna have to master all of them before you hit the streets, or guess what?",قبل از اینکه وارد خیابون‌ها بشین ،باید روی اینا مسلط شین وگرنه چی میشه؟
You'll be dead!,!می‌میرید
City Center.,.مرکز شهر
I won't let you down. This has been my dream since I was a kid.,.ناامیدتون نمی‌کنم از وقتی بچه بودم .این رویای من بوده
